fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1180373,Wilton Pereira Sampaio,UTC,2024-06-05T23:00:00+00:00,1717628400,1717628400,1717632000,235,Arena Pantanal,"Cuiabá, Mato Grosso",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 2,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,,136,Vitoria,https://media.api-sports.io/football/teams/136.png,,0,0,0,0,0,0,,,,
1180414,Bruno Arleu de Araujo,UTC,2024-06-09T19:00:00+00:00,1717959600,1717959600,1717963200,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 6,True,140,Criciuma,https://media.api-sports.io/football/teams/140.png,False,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,True,2,5,0,3,2,5,,,,
1180433,Paulo Cesar Zanovelli da Silva,UTC,2024-06-11T22:00:00+00:00,1718143200,1718143200,1718146800,211,Estádio Antônio Accioly,"Goiânia, Goiás",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,2,2,0,1,2,2,,,,
1180434,Wagner do Nascimento Magalhaes,UTC,2024-06-11T22:00:00+00:00,1718143200,1718143200,1718146800,248,Estádio Alfredo Jaconi,"Caxias do Sul, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,152,Juventude,https://media.api-sports.io/football/teams/152.png,,136,Vitoria,https://media.api-sports.io/football/teams/136.png,,1,1,1,1,1,1,,,,
1180429,Flavio Rodrigues De Souza,UTC,2024-06-11T23:00:00+00:00,1718146800,1718146800,1718150400,218,Estádio Nilton Santos,Rio de Janeiro,Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,120,Botafogo,https://media.api-sports.io/football/teams/120.png,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,False,1,0,0,0,1,0,,,,
1180431,Rafael Rodrigo Klein,UTC,2024-06-12T00:30:00+00:00,1718152200,1718152200,1718155800,220,Estádio Nabi Abi Chedid,"Bragança Paulista, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,False,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,True,1,2,1,2,1,2,,,,
1180426,Marcelo de Lima Henrique,UTC,2024-06-13T22:00:00+00:00,1718316000,1718316000,1718319600,234,Estádio Governador Magalhães Pinto,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,False,2,1,1,0,2,1,,,,
1180425,Braulio da Silva Machado,UTC,2024-06-13T23:00:00+00:00,1718319600,1718319600,1718323200,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,0,0,0,0,0,0,,,,
1180428,Luiz Flávio,UTC,2024-06-13T23:00:00+00:00,1718319600,1718319600,1718323200,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,127,Flamengo,https://media.api-sports.io/football/teams/127.png,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,False,2,1,1,0,2,1,,,,
1180432,Jonathan Benkenstein Pinheiro,UTC,2024-06-13T23:00:00+00:00,1718319600,1718319600,1718323200,,Ligga Arena,"Curitiba, Paraná",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,True,140,Criciuma,https://media.api-sports.io/football/teams/140.png,False,3,1,1,1,3,1,,,,
1180427,Felipe Fernandes de Lima,UTC,2024-06-14T00:30:00+00:00,1718325000,1718325000,1718328600,216,Arena Fonte Nova,"Salvador, Bahia",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,118,Bahia,https://media.api-sports.io/football/teams/118.png,True,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,False,1,0,0,0,1,0,,,,
1180430,Ramon Abatti,UTC,2024-06-14T00:30:00+00:00,1718325000,1718325000,1718328600,258,Allianz Parque,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 8,True,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,False,2,0,1,0,2,0,,,,
1180441,Emerson Ricardo de Almeida Andrade,UTC,2024-06-15T21:30:00+00:00,1718487000,1718487000,1718490600,220,Estádio Nabi Abi Chedid,"Bragança Paulista, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,True,152,Juventude,https://media.api-sports.io/football/teams/152.png,False,2,1,1,1,2,1,,,,
1180438,Gustavo Ervino Bauermann,UTC,2024-06-16T00:00:00+00:00,1718496000,1718496000,1718499600,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,False,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,True,1,2,1,0,1,2,,,,
1180440,Ramon Abatti,UTC,2024-06-16T19:00:00+00:00,1718564400,1718564400,1718568000,11531,Neo Química Arena,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,2,2,2,2,2,2,,,,
1180442,Anderson Daronco,UTC,2024-06-16T19:00:00+00:00,1718564400,1718564400,1718568000,,Ligga Arena,"Curitiba, Paraná",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,,127,Flamengo,https://media.api-sports.io/football/teams/127.png,,1,1,0,0,1,1,,,,
1180437,Bruno Arleu de Araujo,UTC,2024-06-16T19:00:00+00:00,1718564400,1718564400,1718568000,281,Estádio Manoel Barradas,"Salvador, Bahia",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,False,2,1,1,0,2,1,,,,
1180435,Paulo Cesar Zanovelli da Silva,UTC,2024-06-16T21:30:00+00:00,1718573400,1718573400,1718577000,20691,Estádio Kleber José de Andrade,"Cariacica, Espírito Santo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,False,120,Botafogo,https://media.api-sports.io/football/teams/120.png,True,1,2,1,1,1,2,,,,
1180439,Rafael Rodrigo Klein,UTC,2024-06-16T21:30:00+00:00,1718573400,1718573400,1718577000,19377,Estádio São Januário,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,,0,0,0,0,0,0,,,,
1180444,Flavio Rodrigues De Souza,UTC,2024-06-16T21:30:00+00:00,1718573400,1718573400,1718577000,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,140,Criciuma,https://media.api-sports.io/football/teams/140.png,,118,Bahia,https://media.api-sports.io/football/teams/118.png,,2,2,1,0,2,2,,,,
