date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
23/08/2021,America Mineiro,RB Bragantino,0,2,away,0.306,0.294,0.4
28/08/2021,Palmeiras,Atletico Paranaense,2,1,home,0.561,0.257,0.18100000000000002
28/08/2021,Gremio,Corinthians,0,1,away,0.446,0.311,0.242
28/08/2021,Sport Recife,Chapecoense-sc,0,0,draw,0.39799999999999996,0.324,0.278
28/08/2021,Santos,Flamengo,0,4,away,0.244,0.222,0.534
29/08/2021,Juventude,Sao Paulo,1,1,draw,0.237,0.251,0.512
29/08/2021,America Mineiro,Ceara,2,0,home,0.317,0.299,0.384
29/08/2021,RB Bragantino,Atletico-MG,1,1,draw,0.359,0.27,0.371
29/08/2021,Atletico Goianiense,Internacional,0,0,draw,0.358,0.258,0.384
30/08/2021,Fluminense,Bahia,2,0,home,0.505,0.245,0.25
30/08/2021,Fortaleza EC,Cuiaba,0,0,draw,0.586,0.259,0.156
02/09/2021,Fluminense,Juventude,1,1,draw,0.557,0.259,0.185
04/09/2021,Bahia,Fortaleza EC,4,2,home,0.3,0.265,0.434
04/09/2021,Cuiaba,Santos,2,1,home,0.444,0.28300000000000003,0.273
05/09/2021,Atletico Paranaense,Sport Recife,0,0,draw,0.518,0.32,0.163
07/09/2021,Corinthians,Juventude,1,1,draw,0.55,0.289,0.161
07/09/2021,Chapecoense-sc,Fluminense,1,2,away,0.3,0.27399999999999997,0.426
11/09/2021,Santos,Bahia,0,0,draw,0.41700000000000004,0.25,0.33299999999999996
11/09/2021,Juventude,Cuiaba,1,2,away,0.379,0.311,0.309
11/09/2021,America Mineiro,Atletico Paranaense,2,0,home,0.415,0.307,0.278
11/09/2021,RB Bragantino,Chapecoense-sc,1,2,away,0.642,0.228,0.131
12/09/2021,Palmeiras,Flamengo,1,3,away,0.302,0.23399999999999999,0.46399999999999997
12/09/2021,Fluminense,Sao Paulo,2,1,home,0.364,0.254,0.382
12/09/2021,Gremio,Ceara,2,0,home,0.428,0.287,0.285
12/09/2021,Fortaleza EC,Atletico-MG,0,2,away,0.34299999999999997,0.271,0.386
12/09/2021,Atletico Goianiense,Corinthians,1,1,draw,0.37799999999999995,0.312,0.31
13/09/2021,Sport Recife,Internacional,0,1,away,0.222,0.298,0.48
18/09/2021,Atletico-MG,Sport Recife,3,0,home,0.768,0.209,0.024
18/09/2021,Ceara,Santos,0,0,draw,0.521,0.259,0.22
18/09/2021,Bahia,RB Bragantino,1,1,draw,0.335,0.259,0.406
18/09/2021,Atletico Paranaense,Juventude,2,1,home,0.45299999999999996,0.29,0.257
18/09/2021,Chapecoense-sc,Palmeiras,0,2,away,0.261,0.267,0.47200000000000003
19/09/2021,Flamengo,Gremio,0,1,away,0.679,0.192,0.129
19/09/2021,Corinthians,America Mineiro,1,1,draw,0.491,0.313,0.196
19/09/2021,Sao Paulo,Atletico Goianiense,2,1,home,0.544,0.239,0.217
19/09/2021,Internacional,Fortaleza EC,1,0,home,0.449,0.255,0.29600000000000004
20/09/2021,Cuiaba,Fluminense,2,2,draw,0.35600000000000004,0.29,0.353
22/09/2021,Sao Paulo,America Mineiro,0,0,draw,0.555,0.245,0.201
25/09/2021,Corinthians,Palmeiras,2,1,home,0.27399999999999997,0.314,0.41200000000000003
25/09/2021,Sao Paulo,Atletico-MG,0,0,draw,0.348,0.255,0.39799999999999996
25/09/2021,Ceara,Chapecoense-sc,1,0,home,0.5529999999999999,0.257,0.18899999999999997
26/09/2021,Fluminense,RB Bragantino,2,1,home,0.415,0.27,0.315
26/09/2021,America Mineiro,Flamengo,1,1,draw,0.196,0.23199999999999998,0.5720000000000001
26/09/2021,Internacional,Bahia,2,0,home,0.5589999999999999,0.23,0.21100000000000002
26/09/2021,Sport Recife,Fortaleza EC,0,1,away,0.193,0.316,0.49
26/09/2021,Atletico Paranaense,Gremio,4,2,home,0.32899999999999996,0.306,0.364
26/09/2021,Juventude,Santos,3,0,home,0.42,0.284,0.295
26/09/2021,Atletico Goianiense,Cuiaba,0,0,draw,0.444,0.289,0.267
02/10/2021,Atletico-MG,Internacional,1,0,home,0.532,0.251,0.217
02/10/2021,Fortaleza EC,Atletico Goianiense,0,3,away,0.523,0.26899999999999996,0.20800000000000002
02/10/2021,RB Bragantino,Corinthians,2,2,draw,0.45,0.29100000000000004,0.259
02/10/2021,Cuiaba,America Mineiro,0,2,away,0.39799999999999996,0.326,0.276
03/10/2021,Flamengo,Atletico Paranaense,3,0,home,0.703,0.18,0.11699999999999999
03/10/2021,Palmeiras,Juventude,1,1,draw,0.585,0.24600000000000002,0.16899999999999998
03/10/2021,Gremio,Sport Recife,1,2,away,0.63,0.29,0.08
03/10/2021,Chapecoense-sc,Sao Paulo,1,1,draw,0.251,0.253,0.496
05/10/2021,Corinthians,Bahia,3,1,home,0.526,0.259,0.214
06/10/2021,Fluminense,Fortaleza EC,0,2,away,0.44299999999999995,0.264,0.293
06/10/2021,America Mineiro,Palmeiras,2,1,home,0.358,0.301,0.342
06/10/2021,Gremio,Cuiaba,2,2,draw,0.495,0.285,0.22
06/10/2021,Ceara,Internacional,0,0,draw,0.341,0.28,0.37799999999999995
06/10/2021,Sport Recife,Juventude,3,1,home,0.325,0.349,0.326
06/10/2021,RB Bragantino,Flamengo,1,1,draw,0.265,0.228,0.507
06/10/2021,Chapecoense-sc,Atletico-MG,2,2,draw,0.154,0.251,0.595
06/10/2021,Atletico Goianiense,Atletico Paranaense,0,2,away,0.484,0.276,0.24100000000000002
07/10/2021,Sao Paulo,Santos,1,1,draw,0.624,0.22399999999999998,0.151
09/10/2021,Palmeiras,RB Bragantino,2,4,away,0.444,0.266,0.29
09/10/2021,Fortaleza EC,Flamengo,0,3,away,0.266,0.233,0.501
09/10/2021,Atletico Paranaense,Bahia,0,2,away,0.467,0.256,0.27699999999999997
09/10/2021,Atletico-MG,Ceara,3,1,home,0.624,0.25,0.126
09/10/2021,Sport Recife,Corinthians,1,0,home,0.223,0.336,0.441
09/10/2021,Juventude,America Mineiro,1,1,draw,0.327,0.303,0.37
09/10/2021,Fluminense,Atletico Goianiense,0,0,draw,0.47600000000000003,0.272,0.252
10/10/2021,Internacional,Chapecoense-sc,5,2,home,0.629,0.23,0.141
10/10/2021,Santos,Gremio,1,0,home,0.326,0.284,0.39
11/10/2021,Cuiaba,Sao Paulo,0,0,draw,0.317,0.273,0.41
12/10/2021,Bahia,Palmeiras,0,0,draw,0.35700000000000004,0.253,0.39
12/10/2021,RB Bragantino,Atletico Goianiense,1,0,home,0.523,0.262,0.215
13/10/2021,Flamengo,Juventude,3,1,home,0.76,0.159,0.081
13/10/2021,Corinthians,Fluminense,1,0,home,0.445,0.285,0.26899999999999996
13/10/2021,Atletico-MG,Santos,3,1,home,0.72,0.20199999999999999,0.079
13/10/2021,Internacional,America Mineiro,3,1,home,0.523,0.268,0.209
13/10/2021,Fortaleza EC,Gremio,1,0,home,0.473,0.27,0.257
13/10/2021,Chapecoense-sc,Atletico Paranaense,1,1,draw,0.364,0.267,0.369
14/10/2021,Sao Paulo,Ceara,1,1,draw,0.511,0.265,0.22399999999999998
14/10/2021,Cuiaba,Sport Recife,1,0,home,0.47700000000000004,0.34299999999999997,0.18100000000000002
16/10/2021,Chapecoense-sc,Fortaleza EC,1,2,away,0.28300000000000003,0.262,0.45399999999999996
16/10/2021,America Mineiro,Bahia,0,0,draw,0.47600000000000003,0.275,0.249
17/10/2021,Palmeiras,Internacional,1,0,home,0.38299999999999995,0.259,0.358
17/10/2021,Atletico Paranaense,Fluminense,0,1,away,0.365,0.28300000000000003,0.353
17/10/2021,Atletico Goianiense,Atletico-MG,2,1,home,0.22699999999999998,0.276,0.49700000000000005
17/10/2021,Ceara,RB Bragantino,2,2,draw,0.35100000000000003,0.28,0.369
17/10/2021,Gremio,Juventude,3,2,home,0.509,0.26899999999999996,0.222
17/10/2021,Sport Recife,Santos,0,0,draw,0.39899999999999997,0.33799999999999997,0.262
17/10/2021,Flamengo,Cuiaba,0,0,draw,0.745,0.171,0.084
18/10/2021,Sao Paulo,Corinthians,1,0,home,0.375,0.29100000000000004,0.33399999999999996
20/10/2021,Ceara,Palmeiras,1,2,away,0.37,0.285,0.345
21/10/2021,Internacional,RB Bragantino,1,1,draw,0.46399999999999997,0.249,0.287
23/10/2021,Fluminense,Flamengo,3,1,home,0.179,0.226,0.595
23/10/2021,Santos,America Mineiro,0,2,away,0.32299999999999995,0.313,0.364
23/10/2021,Fortaleza EC,Atletico Paranaense,3,0,home,0.508,0.261,0.23
23/10/2021,Juventude,Ceara,0,0,draw,0.365,0.27699999999999997,0.358
24/10/2021,Atletico-MG,Cuiaba,2,1,home,0.691,0.22399999999999998,0.085
24/10/2021,Internacional,Corinthians,2,2,draw,0.493,0.273,0.23399999999999999
24/10/2021,Bahia,Chapecoense-sc,3,0,home,0.5329999999999999,0.244,0.223
24/10/2021,RB Bragantino,Sao Paulo,1,0,home,0.452,0.256,0.293
25/10/2021,Palmeiras,Sport Recife,2,1,home,0.627,0.275,0.098
25/10/2021,Atletico Goianiense,Gremio,2,0,home,0.436,0.28800000000000003,0.27699999999999997
27/10/2021,Santos,Fluminense,2,0,home,0.273,0.28300000000000003,0.444
