knob,level,season,matches,diff,ci_low,ci_high
home_advantage,100,2018,377,1.826575964456144e-06,-8.423551115878161e-05,9.099122063441796e-05
home_advantage,100,2019,376,3.0832702851850816e-05,-9.352483511182092e-05,0.0001551363672404652
home_advantage,100,2020,377,-7.435768138072168e-05,-0.00025912895990087766,0.0001133305993976193
home_advantage,100,2021,377,0.00011587357513745518,-6.918817106126852e-05,0.00030138663356774856
home_advantage,100,2022,377,7.323955021500712e-05,-0.0001445815285011194,0.00028947960702404077
home_advantage,100,2023,373,-9.073299647878857e-05,-0.00029360582847707097,0.00011410692721681058
home_advantage,100,2024,376,0.00012073244480407493,-3.741775613080204e-05,0.000280878192750651
home_advantage,100,2025,374,1.9886263340543134e-05,-0.0002891902499490217,0.0003201617436604281
home_advantage,120,2016,375,7.098043272377963e-05,-0.0002446645251739034,0.0003952359232216758
home_advantage,120,2017,378,-0.0003541890313083775,-0.0005564595981812192,-0.0001572510134967329
home_advantage,120,2018,377,5.406494646282894e-06,-0.0001994111733171689,0.00021854523016669682
home_advantage,120,2019,376,7.15917721350319e-05,-0.00022224988742966856,0.00036588236255146746
home_advantage,120,2020,377,-0.00016368665963812902,-0.0005940505322175029,0.00027317700837777774
home_advantage,120,2021,377,0.0002850642822749701,-0.00015401914022735507,0.0007199112340178068
home_advantage,120,2022,377,0.00017541230861532967,-0.00032647693031056407,0.0006736941340595824
home_advantage,120,2023,373,-0.0002238289166749637,-0.0006981070276353385,0.00025373864984478393
home_advantage,120,2024,376,0.0002828184164817682,-8.225740675759273e-05,0.0006517565790858444
home_advantage,120,2025,374,9.508170393015197e-05,-0.0006148729498527756,0.0007958293820726675
margin_ladder,flat 1/1/1,2016,375,-6.106854744762383e-05,-0.001957662470928325,0.0018780677578367365
margin_ladder,flat 1/1/1,2017,378,-0.0010927466693911906,-0.0025656187171812306,0.00033839801645669994
margin_ladder,flat 1/1/1,2018,377,0.0013877285490344559,0.0001879235942247693,0.00260905839516691
margin_ladder,flat 1/1/1,2019,376,0.0015639115997371957,-8.280242542600162e-05,0.0032066835934167945
margin_ladder,flat 1/1/1,2020,377,0.0007367426636701555,-0.0012933261912491556,0.0028206317382555622
margin_ladder,flat 1/1/1,2021,377,-0.0002942730425167228,-0.0019392371984274632,0.00131708072256546
margin_ladder,flat 1/1/1,2022,377,0.0010209731180377871,-0.000238987076503242,0.0023182051412686338
margin_ladder,flat 1/1/1,2023,373,-0.00036687690007306337,-0.0024080833811727168,0.0017227431621525515
margin_ladder,flat 1/1/1,2024,376,0.00023651535251069508,-0.001571017382708091,0.0020406423677923396
margin_ladder,flat 1/1/1,2025,374,0.0003118190270554966,-0.0016489528059622854,0.00225829446079527
margin_ladder,mild 1/1.5/2,2016,375,-0.00011661821998066136,-0.0006160389328131326,0.000386888482191029
margin_ladder,mild 1/1.5/2,2017,378,-0.00037660537631338287,-0.0007541157051461566,-5.2190307606103644e-06
margin_ladder,mild 1/1.5/2,2018,377,0.00022477639373804246,-6.850817370076845e-05,0.0005217986288065978
margin_ladder,mild 1/1.5/2,2019,376,0.00021803432122105286,-0.00017795950696869114,0.0006160577304512207
margin_ladder,mild 1/1.5/2,2020,377,8.139917116622857e-05,-0.00045388948058590085,0.0006382592014124202
margin_ladder,mild 1/1.5/2,2021,377,-0.00011315890596643287,-0.0005271918725729113,0.0002923509228948166
margin_ladder,mild 1/1.5/2,2022,377,0.00018395002099698892,-0.00013765663547834122,0.0005106282178087292
margin_ladder,mild 1/1.5/2,2023,373,-0.000188398720311575,-0.0007593944743016932,0.0003839782942015089
margin_ladder,mild 1/1.5/2,2024,376,-3.509415191179933e-05,-0.0005407265157360597,0.0004673530937534214
margin_ladder,mild 1/1.5/2,2025,374,-2.600219263764716e-05,-0.0005487972066242956,0.0004884518841769576
margin_ladder,steep 1/2/3,2016,375,0.0001467317886923902,-0.00026432271205892256,0.0005594666507206572
margin_ladder,steep 1/2/3,2017,378,0.0003582476018452697,5.154471055197502e-05,0.0006685998314156496
margin_ladder,steep 1/2/3,2018,377,-0.00010941704387956524,-0.00034180549202235546,0.00012330849850826118
margin_ladder,steep 1/2/3,2019,376,-8.114795034114095e-05,-0.00040668777152570257,0.00024048630083189505
margin_ladder,steep 1/2/3,2020,377,-4.269388170815756e-06,-0.00046563352043982385,0.00044741757319424053
margin_ladder,steep 1/2/3,2021,377,0.00010463896599858689,-0.00022412732969284468,0.0004412779965885344
margin_ladder,steep 1/2/3,2022,377,-0.00011119794733943273,-0.0003902643352120905,0.00016392587689655064
margin_ladder,steep 1/2/3,2023,373,0.00021494448891120374,-0.0002797579209909815,0.0007134967398493217
margin_ladder,steep 1/2/3,2024,376,8.773568535983045e-05,-0.00035034699958963575,0.0005206426807006499
margin_ladder,steep 1/2/3,2025,374,7.704558397296451e-05,-0.00034964801124721766,0.0005092772471201366
