season,adjustment_weight,n_scored,missing,mean_brier,mean_reference_brier,skill,diff_vs_baseline,diff_ci_low,diff_ci_high,beats_baseline
2024,0.3,376,0,0.6241210537704076,0.6361170212765956,0.018858114316944175,0.00230294437398964,-0.002071069704742077,0.006631720854267546,False
2024,0.4,376,0,0.6225890023599879,0.6361170212765956,0.02126655703923619,0.00077089296356985,-0.0014234073490565142,0.0029323414285854837,False
2024,0.5,376,0,0.621818109396418,0.6361170212765956,0.02247842991448612,0.0,0.0,0.0,
2024,0.6,376,0,0.6218001911672076,0.6361170212765956,0.022506598048038673,-1.791822921034984e-05,-0.0021610720697213706,0.0021822016729905937,True
2024,0.7,376,0,0.622528175367868,0.6361170212765956,0.02136217936985363,0.0007100659714499343,-0.0035755337474717374,0.005138235898295625,False
2025,0.3,374,0,0.605663348599066,0.6248475713629698,0.030702244264241174,-0.0012181902732191863,-0.005496683470152562,0.003127079224890192,True
2025,0.4,374,0,0.6059387685499913,0.6248475713629698,0.03026146484291037,-0.0009427703222937937,-0.00307213689245853,0.0012242593828883331,True
2025,0.5,374,0,0.606881538872285,0.6248475713629698,0.0287526643521967,0.0,0.0,0.0,
2025,0.6,374,0,0.6084737201994467,0.6248475713629698,0.026204552780459855,0.0015921813271615453,-0.0005573819097671363,0.003717080752613314,False
2025,0.7,374,0,0.6107096417049553,0.6248475713629698,0.0226262056635278,0.003828102832670242,-0.00047457054234412957,0.008071642092247587,False
