type,date,team,n_simulations
brasileirao_relegation,2025-09-28,Vasco DA Gama,35
brasileirao_relegation,2025-09-28,RB Bragantino,54
brasileirao_relegation,2025-09-28,Fluminense,1
brasileirao_title,2025-09-29,Palmeiras,286
brasileirao_title,2025-09-29,Flamengo,574
brasileirao_title,2025-09-29,Cruzeiro,39
brasileirao_title,2025-09-29,Mirassol,1
brasileirao_relegation,2025-09-29,Fortaleza EC,670
brasileirao_relegation,2025-09-29,Vitoria,762
brasileirao_relegation,2025-09-29,Sport Recife,867
brasileirao_relegation,2025-09-29,Juventude,728
brasileirao_relegation,2025-09-29,RB Bragantino,45
brasileirao_relegation,2025-09-29,Internacional,94
brasileirao_relegation,2025-09-29,Gremio,21
brasileirao_relegation,2025-09-29,Atletico-MG,51
brasileirao_relegation,2025-09-29,Santos,205
brasileirao_relegation,2025-09-29,Ceara,56
brasileirao_relegation,2025-09-29,Vasco DA Gama,39
brasileirao_relegation,2025-09-29,Corinthians,60
brasileirao_relegation,2025-09-29,Sao Paulo,2
brasileirao_title,2025-09-30,Palmeiras,237
brasileirao_title,2025-09-30,Flamengo,627
brasileirao_title,2025-09-30,Cruzeiro,35
brasileirao_title,2025-09-30,Mirassol,1
brasileirao_relegation,2025-09-30,Internacional,96
brasileirao_relegation,2025-09-30,Juventude,669
brasileirao_relegation,2025-09-30,Vitoria,767
brasileirao_relegation,2025-09-30,Sport Recife,871
brasileirao_relegation,2025-09-30,Fortaleza EC,664
brasileirao_relegation,2025-09-30,Atletico-MG,91
brasileirao_relegation,2025-09-30,RB Bragantino,54
brasileirao_relegation,2025-09-30,Santos,215
brasileirao_relegation,2025-09-30,Ceara,49
brasileirao_relegation,2025-09-30,Corinthians,51
brasileirao_relegation,2025-09-30,Vasco DA Gama,36
brasileirao_relegation,2025-09-30,Gremio,31
brasileirao_relegation,2025-09-30,Fluminense,3
brasileirao_relegation,2025-09-30,Sao Paulo,3
brasileirao_title,2025-10-01,Palmeiras,301
brasileirao_title,2025-10-01,Flamengo,564
brasileirao_title,2025-10-01,Cruzeiro,35
brasileirao_relegation,2025-10-01,Vasco DA Gama,56
brasileirao_relegation,2025-10-01,Vitoria,758
brasileirao_relegation,2025-10-01,Santos,202
brasileirao_relegation,2025-10-01,Sport Recife,885
brasileirao_relegation,2025-10-01,Internacional,76
brasileirao_relegation,2025-10-01,Juventude,710
brasileirao_relegation,2025-10-01,Fortaleza EC,677
brasileirao_relegation,2025-10-01,Corinthians,64
brasileirao_relegation,2025-10-01,Ceara,42
brasileirao_relegation,2025-10-01,Atletico-MG,71
brasileirao_relegation,2025-10-01,Gremio,24
brasileirao_relegation,2025-10-01,RB Bragantino,33
brasileirao_relegation,2025-10-01,Fluminense,1
brasileirao_relegation,2025-10-01,Sao Paulo,1
brasileirao_title,2025-10-02,Flamengo,512
brasileirao_title,2025-10-02,Palmeiras,356
brasileirao_title,2025-10-02,Cruzeiro,32
brasileirao_relegation,2025-10-02,Juventude,661
brasileirao_relegation,2025-10-02,Fortaleza EC,786
brasileirao_relegation,2025-10-02,Vitoria,666
brasileirao_relegation,2025-10-02,Sport Recife,874
brasileirao_relegation,2025-10-02,Atletico-MG,86
brasileirao_relegation,2025-10-02,Internacional,87
brasileirao_relegation,2025-10-02,Santos,201
brasileirao_relegation,2025-10-02,Vasco DA Gama,45
brasileirao_relegation,2025-10-02,Corinthians,61
brasileirao_relegation,2025-10-02,RB Bragantino,39
brasileirao_relegation,2025-10-02,Gremio,24
brasileirao_relegation,2025-10-02,Ceara,69
brasileirao_relegation,2025-10-02,Fluminense,1
brasileirao_title,2025-10-04,Flamengo,521
brasileirao_title,2025-10-04,Palmeiras,344
brasileirao_title,2025-10-04,Cruzeiro,35
brasileirao_relegation,2025-10-04,Gremio,44
brasileirao_relegation,2025-10-04,Vitoria,656
brasileirao_relegation,2025-10-04,Fortaleza EC,778
brasileirao_relegation,2025-10-04,Sport Recife,879
brasileirao_relegation,2025-10-04,Juventude,719
brasileirao_relegation,2025-10-04,Santos,217
brasileirao_relegation,2025-10-04,Atletico-MG,129
brasileirao_relegation,2025-10-04,Ceara,75
brasileirao_relegation,2025-10-04,Internacional,23
brasileirao_relegation,2025-10-04,Vasco DA Gama,53
brasileirao_relegation,2025-10-04,Corinthians,18
brasileirao_relegation,2025-10-04,RB Bragantino,8
brasileirao_relegation,2025-10-04,Fluminense,1
brasileirao_title,2025-10-05,Palmeiras,551
brasileirao_title,2025-10-05,Flamengo,328
brasileirao_title,2025-10-05,Cruzeiro,21
brasileirao_relegation,2025-10-05,Vitoria,687
brasileirao_relegation,2025-10-05,Santos,301
brasileirao_relegation,2025-10-05,Juventude,796
brasileirao_relegation,2025-10-05,Sport Recife,872
brasileirao_relegation,2025-10-05,Fortaleza EC,666
brasileirao_relegation,2025-10-05,RB Bragantino,6
brasileirao_relegation,2025-10-05,Atletico-MG,132
brasileirao_relegation,2025-10-05,Internacional,31
brasileirao_relegation,2025-10-05,Gremio,47
brasileirao_relegation,2025-10-05,Vasco DA Gama,22
brasileirao_relegation,2025-10-05,Corinthians,18
brasileirao_relegation,2025-10-05,Ceara,21
brasileirao_relegation,2025-10-05,Sao Paulo,1
brasileirao_title,2025-10-08,Palmeiras,568
brasileirao_title,2025-10-08,Flamengo,307
brasileirao_title,2025-10-08,Cruzeiro,25
brasileirao_relegation,2025-10-08,Internacional,32
brasileirao_relegation,2025-10-08,Juventude,813
brasileirao_relegation,2025-10-08,Fortaleza EC,677
brasileirao_relegation,2025-10-08,Sport Recife,891
brasileirao_relegation,2025-10-08,Vitoria,716
brasileirao_relegation,2025-10-08,Santos,304
brasileirao_relegation,2025-10-08,Atletico-MG,53
brasileirao_relegation,2025-10-08,Vasco DA Gama,29
brasileirao_relegation,2025-10-08,Gremio,36
brasileirao_relegation,2025-10-08,Ceara,21
brasileirao_relegation,2025-10-08,Corinthians,14
brasileirao_relegation,2025-10-08,RB Bragantino,12
brasileirao_relegation,2025-10-08,Sao Paulo,2
brasileirao_title,2025-10-11,Palmeiras,599
brasileirao_title,2025-10-11,Flamengo,282
brasileirao_title,2025-10-11,Cruzeiro,18
brasileirao_title,2025-10-11,Mirassol,1
brasileirao_relegation,2025-10-11,Vitoria,696
brasileirao_relegation,2025-10-11,Fortaleza EC,671
brasileirao_relegation,2025-10-11,Juventude,835
brasileirao_relegation,2025-10-11,Sport Recife,890
brasileirao_relegation,2025-10-11,Santos,311
brasileirao_relegation,2025-10-11,Gremio,36
brasileirao_relegation,2025-10-11,Atletico-MG,53
brasileirao_relegation,2025-10-11,Sao Paulo,2
brasileirao_relegation,2025-10-11,RB Bragantino,7
brasileirao_relegation,2025-10-11,Vasco DA Gama,26
brasileirao_relegation,2025-10-11,Ceara,32
brasileirao_relegation,2025-10-11,Internacional,24
brasileirao_relegation,2025-10-11,Corinthians,17
brasileirao_title,2025-10-15,Palmeiras,517
brasileirao_title,2025-10-15,Flamengo,379
brasileirao_title,2025-10-15,Cruzeiro,4
brasileirao_relegation,2025-10-15,Fortaleza EC,787
brasileirao_relegation,2025-10-15,Vitoria,682
brasileirao_relegation,2025-10-15,Sport Recife,895
brasileirao_relegation,2025-10-15,Juventude,836
brasileirao_relegation,2025-10-15,RB Bragantino,8
brasileirao_relegation,2025-10-15,Santos,169
brasileirao_relegation,2025-10-15,Atletico-MG,63
brasileirao_relegation,2025-10-15,Corinthians,32
brasileirao_relegation,2025-10-15,Ceara,16
brasileirao_relegation,2025-10-15,Internacional,56
brasileirao_relegation,2025-10-15,Gremio,43
brasileirao_relegation,2025-10-15,Sao Paulo,3
brasileirao_relegation,2025-10-15,Vasco DA Gama,10
brasileirao_title,2025-10-16,Flamengo,384
brasileirao_title,2025-10-16,Palmeiras,513
brasileirao_title,2025-10-16,Cruzeiro,3
brasileirao_relegation,2025-10-16,Vitoria,646
brasileirao_relegation,2025-10-16,Fortaleza EC,783
brasileirao_relegation,2025-10-16,Juventude,865
brasileirao_relegation,2025-10-16,Sport Recife,896
brasileirao_relegation,2025-10-16,Santos,180
brasileirao_relegation,2025-10-16,Atletico-MG,80
brasileirao_relegation,2025-10-16,Internacional,55
brasileirao_relegation,2025-10-16,Corinthians,29
brasileirao_relegation,2025-10-16,RB Bragantino,26
brasileirao_relegation,2025-10-16,Ceara,20
brasileirao_relegation,2025-10-16,Vasco DA Gama,1
brasileirao_relegation,2025-10-16,Sao Paulo,4
brasileirao_relegation,2025-10-16,Gremio,15
brasileirao_title,2025-10-18,Flamengo,380
brasileirao_title,2025-10-18,Palmeiras,515
brasileirao_title,2025-10-18,Cruzeiro,5
brasileirao_relegation,2025-10-18,Internacional,51
brasileirao_relegation,2025-10-18,Sport Recife,897
brasileirao_relegation,2025-10-18,Fortaleza EC,855
brasileirao_relegation,2025-10-18,Juventude,861
brasileirao_relegation,2025-10-18,Vitoria,637
brasileirao_relegation,2025-10-18,Atletico-MG,81
brasileirao_relegation,2025-10-18,RB Bragantino,11
brasileirao_relegation,2025-10-18,Gremio,9
brasileirao_relegation,2025-10-18,Santos,162
brasileirao_relegation,2025-10-18,Ceara,17
brasileirao_relegation,2025-10-18,Corinthians,11
brasileirao_relegation,2025-10-18,Sao Paulo,3
brasileirao_relegation,2025-10-18,Vasco DA Gama,5
brasileirao_title,2025-10-19,Flamengo,518
brasileirao_title,2025-10-19,Palmeiras,367
brasileirao_title,2025-10-19,Cruzeiro,13
brasileirao_title,2025-10-19,Mirassol,2
brasileirao_relegation,2025-10-19,Juventude,860
brasileirao_relegation,2025-10-19,Santos,166
brasileirao_relegation,2025-10-19,Fortaleza EC,838
brasileirao_relegation,2025-10-19,Sport Recife,898
brasileirao_relegation,2025-10-19,Vitoria,615
brasileirao_relegation,2025-10-19,Atletico-MG,98
brasileirao_relegation,2025-10-19,Ceara,43
brasileirao_relegation,2025-10-19,Internacional,21
