type,date,team,n_simulations
brasileirao_title,2025-05-04,Cruzeiro,40
brasileirao_title,2025-05-04,Fortaleza EC,10
brasileirao_title,2025-05-04,Internacional,37
brasileirao_title,2025-05-04,Bahia,19
brasileirao_title,2025-05-04,RB Bragantino,59
brasileirao_title,2025-05-04,Sao Paulo,3
brasileirao_title,2025-05-04,Vasco DA Gama,1
brasileirao_title,2025-05-04,Vitoria,3
brasileirao_title,2025-05-04,Mirassol,1
brasileirao_title,2025-05-04,Juventude,1
brasileirao_title,2025-05-04,Ceara,3
brasileirao_title,2025-05-04,Gremio,1
brasileirao_title,2025-05-04,Atletico-MG,1
brasileirao_relegation,2025-05-04,Sport Recife,663
brasileirao_relegation,2025-05-04,Sao Paulo,132
brasileirao_relegation,2025-05-04,Santos,572
brasileirao_relegation,2025-05-04,Gremio,350
brasileirao_relegation,2025-05-04,Juventude,296
brasileirao_relegation,2025-05-04,Vitoria,251
brasileirao_relegation,2025-05-04,Atletico-MG,342
brasileirao_relegation,2025-05-04,Mirassol,291
brasileirao_relegation,2025-05-04,Ceara,178
brasileirao_relegation,2025-05-04,Vasco DA Gama,235
brasileirao_relegation,2025-05-04,Cruzeiro,34
brasileirao_relegation,2025-05-04,RB Bragantino,17
brasileirao_relegation,2025-05-04,Bahia,65
brasileirao_relegation,2025-05-04,Corinthians,32
brasileirao_relegation,2025-05-04,Fortaleza EC,60
brasileirao_relegation,2025-05-04,Fluminense,29
brasileirao_relegation,2025-05-04,Botafogo,23
brasileirao_relegation,2025-05-04,Internacional,28
brasileirao_relegation,2025-05-04,Palmeiras,1
brasileirao_relegation,2025-05-04,Flamengo,1
brasileirao_title,2025-05-05,Flamengo,345
brasileirao_title,2025-05-05,RB Bragantino,96
brasileirao_title,2025-05-05,Palmeiras,283
brasileirao_title,2025-05-05,Fluminense,30
brasileirao_title,2025-05-05,Internacional,27
brasileirao_title,2025-05-05,Corinthians,23
brasileirao_title,2025-05-05,Fortaleza EC,8
brasileirao_title,2025-05-05,Botafogo,41
brasileirao_title,2025-05-05,Sao Paulo,4
brasileirao_title,2025-05-05,Bahia,17
brasileirao_title,2025-05-05,Cruzeiro,20
brasileirao_title,2025-05-05,Atletico-MG,1
brasileirao_title,2025-05-05,Gremio,1
brasileirao_title,2025-05-05,Vasco DA Gama,1
brasileirao_title,2025-05-05,Vitoria,1
brasileirao_title,2025-05-05,Ceara,2
brasileirao_relegation,2025-05-05,Juventude,406
brasileirao_relegation,2025-05-05,Gremio,336
brasileirao_relegation,2025-05-05,Sport Recife,636
brasileirao_relegation,2025-05-05,Vitoria,244
brasileirao_relegation,2025-05-05,Ceara,193
brasileirao_relegation,2025-05-05,Santos,566
brasileirao_relegation,2025-05-05,Mirassol,325
brasileirao_relegation,2025-05-05,Botafogo,34
brasileirao_relegation,2025-05-05,Atletico-MG,230
brasileirao_relegation,2025-05-05,RB Bragantino,7
brasileirao_relegation,2025-05-05,Sao Paulo,149
brasileirao_relegation,2025-05-05,Vasco DA Gama,218
brasileirao_relegation,2025-05-05,Cruzeiro,38
brasileirao_relegation,2025-05-05,Bahia,53
brasileirao_relegation,2025-05-05,Corinthians,41
brasileirao_relegation,2025-05-05,Internacional,38
brasileirao_relegation,2025-05-05,Fortaleza EC,63
brasileirao_relegation,2025-05-05,Fluminense,22
brasileirao_relegation,2025-05-05,Palmeiras,1
brasileirao_title,2025-05-10,Palmeiras,273
brasileirao_title,2025-05-10,Bahia,3
brasileirao_title,2025-05-10,Flamengo,384
brasileirao_title,2025-05-10,Fortaleza EC,29
brasileirao_title,2025-05-10,RB Bragantino,77
brasileirao_title,2025-05-10,Internacional,29
brasileirao_title,2025-05-10,Cruzeiro,29
brasileirao_title,2025-05-10,Botafogo,27
brasileirao_title,2025-05-10,Vitoria,2
brasileirao_title,2025-05-10,Corinthians,14
brasileirao_title,2025-05-10,Atletico-MG,3
brasileirao_title,2025-05-10,Fluminense,20
brasileirao_title,2025-05-10,Sao Paulo,6
brasileirao_title,2025-05-10,Vasco DA Gama,2
brasileirao_title,2025-05-10,Ceara,2
brasileirao_relegation,2025-05-10,Vasco DA Gama,231
brasileirao_relegation,2025-05-10,Sport Recife,664
brasileirao_relegation,2025-05-10,Juventude,576
brasileirao_relegation,2025-05-10,Sao Paulo,112
brasileirao_relegation,2025-05-10,Fortaleza EC,15
brasileirao_relegation,2025-05-10,Gremio,297
brasileirao_relegation,2025-05-10,Vitoria,194
brasileirao_relegation,2025-05-10,Mirassol,263
brasileirao_relegation,2025-05-10,Santos,566
brasileirao_relegation,2025-05-10,Ceara,180
brasileirao_relegation,2025-05-10,Bahia,96
brasileirao_relegation,2025-05-10,Internacional,32
brasileirao_relegation,2025-05-10,Corinthians,46
brasileirao_relegation,2025-05-10,Atletico-MG,236
brasileirao_relegation,2025-05-10,Botafogo,26
brasileirao_relegation,2025-05-10,Cruzeiro,31
brasileirao_relegation,2025-05-10,Fluminense,29
brasileirao_relegation,2025-05-10,RB Bragantino,5
brasileirao_relegation,2025-05-10,Flamengo,1
brasileirao_title,2025-05-11,Flamengo,303
brasileirao_title,2025-05-11,Cruzeiro,78
brasileirao_title,2025-05-11,Palmeiras,358
brasileirao_title,2025-05-11,RB Bragantino,53
brasileirao_title,2025-05-11,Internacional,9
brasileirao_title,2025-05-11,Fluminense,12
brasileirao_title,2025-05-11,Botafogo,47
brasileirao_title,2025-05-11,Fortaleza EC,21
brasileirao_title,2025-05-11,Corinthians,6
brasileirao_title,2025-05-11,Atletico-MG,3
brasileirao_title,2025-05-11,Vitoria,3
brasileirao_title,2025-05-11,Ceara,2
brasileirao_title,2025-05-11,Gremio,1
brasileirao_title,2025-05-11,Bahia,4
brasileirao_relegation,2025-05-11,Atletico-MG,117
brasileirao_relegation,2025-05-11,Juventude,576
brasileirao_relegation,2025-05-11,Sport Recife,759
brasileirao_relegation,2025-05-11,Vasco DA Gama,220
brasileirao_relegation,2025-05-11,Santos,565
brasileirao_relegation,2025-05-11,Ceara,190
brasileirao_relegation,2025-05-11,Mirassol,250
brasileirao_relegation,2025-05-11,Gremio,305
brasileirao_relegation,2025-05-11,Sao Paulo,160
brasileirao_relegation,2025-05-11,RB Bragantino,6
brasileirao_relegation,2025-05-11,Internacional,52
brasileirao_relegation,2025-05-11,Vitoria,193
brasileirao_relegation,2025-05-11,Corinthians,44
brasileirao_relegation,2025-05-11,Fluminense,42
brasileirao_relegation,2025-05-11,Bahia,98
brasileirao_relegation,2025-05-11,Fortaleza EC,12
brasileirao_relegation,2025-05-11,Botafogo,5
brasileirao_relegation,2025-05-11,Cruzeiro,6
brasileirao_title,2025-05-12,Flamengo,268
brasileirao_title,2025-05-12,Palmeiras,382
brasileirao_title,2025-05-12,Botafogo,47
brasileirao_title,2025-05-12,RB Bragantino,71
brasileirao_title,2025-05-12,Cruzeiro,72
brasileirao_title,2025-05-12,Internacional,7
brasileirao_title,2025-05-12,Atletico-MG,5
brasileirao_title,2025-05-12,Fortaleza EC,22
brasileirao_title,2025-05-12,Corinthians,7
brasileirao_title,2025-05-12,Sao Paulo,2
brasileirao_title,2025-05-12,Fluminense,12
brasileirao_title,2025-05-12,Ceara,1
brasileirao_title,2025-05-12,Vitoria,1
brasileirao_title,2025-05-12,Gremio,1
brasileirao_title,2025-05-12,Bahia,2
brasileirao_relegation,2025-05-12,Mirassol,274
brasileirao_relegation,2025-05-12,Santos,583
brasileirao_relegation,2025-05-12,Vitoria,176
brasileirao_relegation,2025-05-12,Vasco DA Gama,212
brasileirao_relegation,2025-05-12,Juventude,582
brasileirao_relegation,2025-05-12,Sport Recife,754
brasileirao_relegation,2025-05-12,Atletico-MG,121
brasileirao_relegation,2025-05-12,Gremio,317
brasileirao_relegation,2025-05-12,Ceara,187
brasileirao_relegation,2025-05-12,Sao Paulo,140
brasileirao_relegation,2025-05-12,Fluminense,46
brasileirao_relegation,2025-05-12,Internacional,43
brasileirao_relegation,2025-05-12,Bahia,88
brasileirao_relegation,2025-05-12,Corinthians,46
brasileirao_relegation,2025-05-12,Cruzeiro,5
brasileirao_relegation,2025-05-12,Fortaleza EC,13
brasileirao_relegation,2025-05-12,Botafogo,10
brasileirao_relegation,2025-05-12,RB Bragantino,3
brasileirao_title,2025-05-17,Palmeiras,362
brasileirao_title,2025-05-17,Flamengo,284
